"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar un producto al carrito de compras en AliExpress","Agregar un producto al carrito desde la barra de búsqueda","PENDING","2024-11-14T16:44:10.6325918-05:00[America/Bogota]","0.0","1.72"
"Agregar un producto al carrito de compras en AliExpress","Agregar un producto al carrito desde la barra de búsqueda","ERROR","2024-11-14T18:11:18.4771077-05:00[America/Bogota]","0.0","126.22"
"Loguaerse en el sistema","ingresar al sistema","PENDING","2024-11-08T16:12:21.9093887-05:00[America/Bogota]","0.0","0.98"
"Loguaerse en el sistema","ingresar al sistema","SUCCESS","2024-11-10T14:04:05.5465989-05:00[America/Bogota]","0.0","33.94"
"Loguaerse en el sistema","registar dados candidato","ERROR","2024-11-10T14:04:39.8275549-05:00[America/Bogota]","0.0","7.97"
"Loguearse en el sistema","Ingresar al sistema","PENDING","2024-11-10T14:22:02.0739199-05:00[America/Bogota]","0.0","3.2"
"Loguearse en el sistema","Ingresar al sistema","SUCCESS","2024-11-10T15:18:47.520386-05:00[America/Bogota]","0.0","22.46"
"Loguearse en el sistema","Registro de datos del candidato","ERROR","2024-11-10T15:50:14.9956578-05:00[America/Bogota]","0.0","1.12"
"Loguearse en el sistema","Registro de datos del candidato","ERROR","2024-11-10T15:58:11.045714-05:00[America/Bogota]","0.0","1.69"
"Loguearse en el sistema","Registrar datos del candidato","ERROR","2024-11-10T21:24:11.2143429-05:00[America/Bogota]","0.0","1.0"
"Loguearse en el sistema","Registrar datos del candidato","ERROR","2024-11-10T21:26:21.858645-05:00[America/Bogota]","0.0","7.09"
"Loguearse en el sistema","Ingresar con diferentes credenciales","SUCCESS","2024-11-13T12:31:08.0929675-05:00[America/Bogota]","0.0","30.01"
"Loguearse en el sistema","Registrar un candidato","SUCCESS","2024-11-13T12:31:38.4114844-05:00[America/Bogota]","0.0","62.09"
